Time Window,Date,Underlying,TEF.MC,REP.MC,BBVA.MC
250,2000-02-29,BBVA.MC,,,1.0
250,2000-03-01,TEF.MC,1.0,,
250,2000-03-01,REP.MC,,1.0,
250,2000-03-01,BBVA.MC,,,1.0
250,2000-03-02,TEF.MC,1.0,,
250,2000-03-02,REP.MC,,1.0,
250,2000-03-02,BBVA.MC,,,1.0
250,2000-03-03,TEF.MC,1.0,,
250,2000-03-03,REP.MC,,1.0,
250,2000-03-03,BBVA.MC,,,1.0
250,2000-03-06,TEF.MC,1.0,,
250,2000-03-06,REP.MC,,1.0,
250,2000-03-06,BBVA.MC,,,1.0
250,2000-03-07,TEF.MC,1.0,,
250,2000-03-07,REP.MC,,1.0,
250,2000-03-07,BBVA.MC,,,1.0
250,2000-03-08,TEF.MC,1.0,,
250,2000-03-08,REP.MC,,1.0,
250,2000-03-08,BBVA.MC,,,1.0
250,2000-03-09,TEF.MC,1.0,,
250,2000-03-09,REP.MC,,1.0,
250,2000-03-09,BBVA.MC,,,1.0
250,2000-03-10,TEF.MC,1.0,,
250,2000-03-10,REP.MC,,1.0,
250,2000-03-10,BBVA.MC,,,1.0
250,2000-03-13,TEF.MC,1.0,,
250,2000-03-13,REP.MC,,1.0,
250,2000-03-13,BBVA.MC,,,1.0
250,2000-03-14,TEF.MC,1.0,,
250,2000-03-14,REP.MC,,1.0,
250,2000-03-14,BBVA.MC,,,1.0
250,2000-03-15,TEF.MC,1.0,,
250,2000-03-15,REP.MC,,1.0,
250,2000-03-15,BBVA.MC,,,1.0
250,2000-03-16,TEF.MC,1.0,,
250,2000-03-16,REP.MC,,1.0,
250,2000-03-16,BBVA.MC,,,1.0
250,2000-03-17,TEF.MC,1.0,,
250,2000-03-17,REP.MC,,1.0,
250,2000-03-17,BBVA.MC,,,1.0
250,2000-03-20,TEF.MC,1.0,,
250,2000-03-20,REP.MC,,1.0,
250,2000-03-20,BBVA.MC,,,1.0
250,2000-03-21,TEF.MC,1.0,,
250,2000-03-21,REP.MC,,1.0,
250,2000-03-21,BBVA.MC,,,1.0
