Time Window,Date,Avg Correl
10,2015-03-27,
10,2015-03-30,
10,2015-03-31,
10,2015-04-01,
10,2015-04-02,
10,2015-04-07,
10,2015-04-08,
10,2015-04-09,
10,2015-04-10,
10,2015-04-13,
10,2015-04-14,0.4447880678451037
10,2015-04-15,0.4918251459383046
10,2015-04-16,0.6181193501111173
10,2015-04-17,0.715192915163896
10,2015-04-20,0.7418146865176917
10,2015-04-21,0.8232529602776526
10,2015-04-22,0.8047093104397238
10,2015-04-23,0.8383933172514594
10,2015-04-24,0.7749865054892555
10,2015-04-27,0.739091805233036
10,2015-04-28,0.729411912730581
10,2015-04-29,0.7405033096344363
10,2015-04-30,0.6622136995644935
10,2015-05-04,0.5370175170192385
10,2015-05-05,0.7160246928011739
10,2015-05-06,0.7299195035035672
10,2015-05-07,0.5821862421162394
10,2015-05-08,0.6926654807780569
10,2015-05-11,0.7089902974165123
10,2015-05-12,0.6871199870421105
10,2015-05-13,0.7016707584425266
10,2015-05-14,0.6750977441789795
10,2015-05-15,0.7202191774916069
10,2015-05-18,0.7097846126451446
10,2015-05-19,0.6785582445983608
10,2015-05-20,0.730585423606396
10,2015-05-21,0.8182034414048623
10,2015-05-22,0.714996450648327
10,2015-05-25,0.7985982992039792
10,2015-05-26,0.8081397681159196
10,2015-05-27,0.8569158160758842
10,2015-05-28,0.881402047119208
10,2015-05-29,0.8929434665380462
10,2015-06-01,0.8865542099629428
10,2015-06-02,0.8036143988007619
10,2015-06-03,0.759136753509226
10,2015-06-04,0.7553096144953358
10,2015-06-05,0.7605282694390989
10,2015-06-08,0.7238250198978302
10,2015-06-09,0.7237227358086233
10,2015-06-10,0.6209176525898883
10,2015-06-11,0.680214570098727
10,2015-06-12,0.644282931557783
10,2015-06-15,0.7184582661324154
10,2015-06-16,0.7362781544026806
10,2015-06-17,0.72801849347147
10,2015-06-18,0.7711301666624124
10,2015-06-19,0.7418862144763244
10,2015-06-22,0.8806372901171008
10,2015-06-23,0.8812953277655878
10,2015-06-24,0.9009526784611644
10,2015-06-25,0.9008404123200346
10,2015-06-26,0.9218937964990405
10,2015-06-29,0.9526555764417565
10,2015-06-30,0.950470272537194
10,2015-07-01,0.9443119411432034
10,2015-07-02,0.9280231972555204
10,2015-07-03,0.9284921427533672
10,2015-07-06,0.89278866180154
10,2015-07-07,0.9054805438741097
10,2015-07-08,0.9163701777775779
10,2015-07-09,0.9406835866917131
10,2015-07-10,0.9459292608204778
10,2015-07-13,0.9123079853984009
10,2015-07-14,0.9010556253060842
10,2015-07-15,0.8921032156791342
10,2015-07-16,0.9179204802847168
10,2015-07-17,0.93024299531132
10,2015-07-20,0.8945339473774754
10,2015-07-21,0.8624890832068182
10,2015-07-22,0.8647033514952536
10,2015-07-23,0.8518322046507782
10,2015-07-24,0.7637810061604118
10,2015-07-27,0.844433852711541
10,2015-07-28,0.8443975866543155
10,2015-07-29,0.8668996980230578
10,2015-07-30,0.6862762593347788
10,2015-07-31,0.657814604161696
10,2015-08-03,0.674034923643073
10,2015-08-04,0.6814628704638686
10,2015-08-05,0.7387979456630152
10,2015-08-06,0.7280827588464088
10,2015-08-07,0.6664440145406471
10,2015-08-10,0.6053221549116296
10,2015-08-11,0.6646630105019548
10,2015-08-12,0.7056344842966614
10,2015-08-13,0.8315600486816581
10,2015-08-14,0.8453548729550865
10,2015-08-17,0.8396480102869476
10,2015-08-18,0.8461309048335328
10,2015-08-19,0.8156153579932209
10,2015-08-20,0.8160657949914516
10,2015-08-21,0.8838020442242627
10,2015-08-24,0.880341180239154
10,2015-08-25,0.9345069559647247
10,2015-08-26,0.9523225315896738
10,2015-08-27,0.9555271904776306
10,2015-08-28,0.9550558975662057
10,2015-08-31,0.9493566194531539
10,2015-09-01,0.9507189621951192
10,2015-09-02,0.9422160105034798
10,2015-09-03,0.9507844316397467
10,2015-09-04,0.9519939818912289
10,2015-09-07,0.9378769677262571
10,2015-09-08,0.9118741364517182
10,2015-09-09,0.9074989541702442
10,2015-09-10,0.8806393020636348
10,2015-09-11,0.8828865222196718
10,2015-09-14,0.9011014903422526
10,2015-09-15,0.8902033344014766
10,2015-09-16,0.888906033896479
10,2015-09-17,0.8744375755185045
10,2015-09-18,0.8757180894197759
10,2015-09-21,0.8828605053343417
10,2015-09-22,0.9134504806192617
10,2015-09-23,0.90631970818881
10,2015-09-24,0.8655742554374612
10,2015-09-25,0.8691231584148241
10,2015-09-28,0.8605884104985833
10,2015-09-29,0.7994336403277323
10,2015-09-30,0.7970458429285882
10,2015-10-01,0.7719886928264715
10,2015-10-02,0.6977239532653586
10,2015-10-05,0.7701459812503805
10,2015-10-06,0.6886468316135494
10,2015-10-07,0.6216639352716151
10,2015-10-08,0.5810405355505404
10,2015-10-09,0.5862677330739551
10,2015-10-12,0.5227890382669621
10,2015-10-13,0.6398934036915878
10,2015-10-14,0.6680991820325274
10,2015-10-15,0.6376248318511328
10,2015-10-16,0.685203772084843
10,2015-10-19,0.46811371242238686
10,2015-10-20,0.3672472765621781
10,2015-10-21,0.4806634531747541
10,2015-10-22,0.6473898131974316
10,2015-10-23,0.6741332415884659
10,2015-10-26,0.6474656099242188
10,2015-10-27,0.6467003842454682
10,2015-10-28,0.6591854024517173
10,2015-10-29,0.687865132896372
10,2015-10-30,0.6334019379067476
10,2015-11-02,0.6243872386795581
10,2015-11-03,0.5454787156278643
10,2015-11-04,0.5425925125541958
10,2015-11-05,0.4048588612991048
10,2015-11-06,0.27691416130852725
10,2015-11-09,0.2993630112957089
10,2015-11-10,0.22858905205936814
